ID	GROUP	SESSION	DATE	TIME	TRIAL_BLK	BLK_NO	DISTRIBUTION	AMP	LOGICAL_AMP	PHY_BOUND	DISTANCE	TRUE_CAT	SUB RESPONSE	FEEDBACK	RT	CORRECT_B	CORRECT_S	pDISTRIBUTION	pAMP	pphyBOUND	pDISTANCE	pTRUE_CAT	pSUB RESPONSE	pFEEDBACK	pRT	TOTAL_BLK	TOTAL_TRIAL_INBLK	TRIAL_SSE
1	0	1	20260611	155249	1	2	1	64.3834	0.2922	60	4.3834	1	1	1	1.5547415	1	29	0	54.7453	60	5.2547	0	0	1	0.5338193	13	55	31
1	0	1	20260611	155252	2	2	1	65.8685	0.3912	60	5.8685	1	1	1	1.3327461	2	30	1	64.3834	60	4.3834	1	1	1	1.5547415	13	55	32
1	0	1	20260611	155256	3	2	1	70.9513	0.7301	60	10.9513	1	1	1	0.8004293	3	31	1	65.8685	60	5.8685	1	1	1	1.3327461	13	55	33
1	0	1	20260611	155258	4	2	1	71.4192	0.7613	60	11.4192	1	1	1	1.4503155	4	32	1	70.9513	60	10.9513	1	1	1	0.8004293	13	55	34
1	0	1	20260611	155301	5	2	1	67.2984	0.4866	60	7.2984	1	1	1	0.8992572	5	33	1	71.4192	60	11.4192	1	1	1	1.4503155	13	55	35
1	0	1	20260611	155304	6	2	1	68.0737	0.5382	60	8.0737	1	1	1	0.8500226	6	34	1	67.2984	60	7.2984	1	1	1	0.8992572	13	55	36
1	0	1	20260611	155306	7	2	1	58.8439	-0.0771	60	1.1561	0	0	1	0.9333697	7	35	1	68.0737	60	8.0737	1	1	1	0.8500226	13	55	37
1	0	1	20260611	155309	8	2	1	53.0611	-0.4626	60	6.9389	0	0	1	0.6475937	8	36	1	58.8439	60	1.1561	0	0	1	0.9333697	13	55	38
1	0	1	20260611	155311	9	2	1	54.4558	-0.3696	60	5.5442	0	0	1	0.6328598	9	37	1	53.0611	60	6.9389	0	0	1	0.6475937	13	55	39
1	0	1	20260611	155314	10	2	1	58.1746	-0.1217	60	1.8254	0	0	1	0.8488586	10	38	1	54.4558	60	5.5442	0	0	1	0.6328598	13	55	40
1	0	1	20260611	155316	11	2	1	67.3149	0.4877	60	7.3149	1	1	1	1.1160954	11	39	1	58.1746	60	1.8254	0	0	1	0.8488586	13	55	41
1	0	1	20260611	155319	12	2	1	59.5479	-0.0301	60	0.4521	0	1	0	1.4015159	11	39	1	67.3149	60	7.3149	1	1	1	1.1160954	13	55	42
1	0	1	20260611	155322	13	2	1	61.1874	0.0792	60	1.1874	1	0	0	2.2848106	11	39	1	59.5479	60	0.4521	0	1	0	1.4015159	13	55	43
1	0	1	20260611	155326	14	2	1	56.474	-0.2351	60	3.526	0	0	1	0.7488526	12	40	1	61.1874	60	1.1874	1	0	0	2.2848106	13	55	44
1	0	1	20260611	155328	15	2	1	59.9424	-0.0038	60	0.0576	0	0	1	0.7329992	13	41	1	56.474	60	3.526	0	0	1	0.7488526	13	55	45
1	0	1	20260611	155331	16	2	1	57.0445	-0.197	60	2.9555	0	0	1	0.6826961	14	42	1	59.9424	60	0.0576	0	0	1	0.7329992	13	55	46
1	0	1	20260611	155333	17	2	1	58.6567	-0.0896	60	1.3433	0	0	1	0.5813709	15	43	1	57.0445	60	2.9555	0	0	1	0.6826961	13	55	47
1	0	1	20260611	155335	18	2	1	57.2345	-0.1844	60	2.7655	0	0	1	0.6514138	16	44	1	58.6567	60	1.3433	0	0	1	0.5813709	13	55	48
1	0	1	20260611	155338	19	2	1	70.3493	0.69	60	10.3493	1	1	1	0.6507233	17	45	1	57.2345	60	2.7655	0	0	1	0.6514138	13	55	49
