ID,GROUP,SESSION,DATE,TIME,TRIAL_BLK,BLK_NO,DISTRIBUTION,AMP,LOGICAL_AMP,PHY_BOUND,DISTANCE,TRUE_CAT,SUB RESPONSE,FEEDBACK,RT,CORRECT_B,CORRECT_S,pDISTRIBUTION,pAMP,pphyBOUND,pDISTANCE,pTRUE_CAT,pSUB RESPONSE,pFEEDBACK,pRT,TOTAL_BLK,TOTAL_TRIAL_INBLK,TRIAL_SSE
P01,0,1,20260611,185225,28,1,0,54.7257,-0.3516,60.0,5.2743,0,1,0,0.41383740003220737,14,14,0,48.5784,60.0,11.4216,0,0,1,0.2829368999227881,13,30,28
P01,0,1,20260611,185227,29,1,0,74.6263,0.9751,60.0,14.6263,1,0,0,0.4312199999112636,14,14,0,54.7257,60.0,5.2743,0,1,0,0.4138374000322073,13,30,29
P01,0,1,20260611,185229,30,1,0,52.9999,-0.4667,60.0,7.0001,0,1,0,0.20084840001072735,14,14,0,74.6263,60.0,14.6263,1,0,0,0.4312199999112636,13,30,30
P01,0,1,20260611,185239,1,2,2,60.8044,0.0536,60.0,0.8044,1,1,1,0.5464600000996143,1,15,0,52.9999,60.0,7.0001,0,1,0,0.2008484000107273,13,47,31
P01,0,1,20260611,185243,2,2,2,54.6638,-0.3557,60.0,5.3362,0,0,1,1.1825548000633717,2,16,2,60.8044,60.0,0.8044,1,1,1,0.5464600000996143,13,47,32
P01,0,1,20260611,185246,3,2,2,65.2403,0.3494,60.0,5.2403,1,0,0,0.6838861999567598,2,16,2,54.6638,60.0,5.3362,0,0,1,1.1825548000633717,13,47,33
P01,0,1,20260611,185248,4,2,2,55.884,-0.2744,60.0,4.116,0,1,0,0.7818250999553129,2,16,2,65.2403,60.0,5.2403,1,0,0,0.6838861999567598,13,47,34
P01,0,1,20260611,185251,5,2,2,45.3765,-0.9749,60.0,14.6235,0,0,1,0.9829910000553355,3,17,2,55.884,60.0,4.116,0,1,0,0.7818250999553129,13,47,35
P01,0,1,20260611,185253,6,2,2,60.829,0.0553,60.0,0.829,1,1,1,2.39985330007039,4,18,2,45.3765,60.0,14.6235,0,0,1,0.9829910000553356,13,47,36
P01,0,1,20260611,185257,7,2,2,73.6829,0.9122,60.0,13.6829,1,1,1,0.6164598999312147,5,19,2,60.829,60.0,0.829,1,1,1,2.39985330007039,13,47,37
P01,0,1,20260611,185300,8,2,2,56.303,-0.2465,60.0,3.697,0,0,1,0.715855099959299,6,20,2,73.6829,60.0,13.6829,1,1,1,0.6164598999312147,13,47,38
P01,0,1,20260611,185302,9,2,2,62.5616,0.1708,60.0,2.5616,1,1,1,0.7173697999678552,7,21,2,56.303,60.0,3.697,0,0,1,0.715855099959299,13,47,39
P01,0,1,20260611,185304,10,2,2,58.2343,-0.1177,60.0,1.7657,0,0,1,0.6511262999847531,8,22,2,62.5616,60.0,2.5616,1,1,1,0.7173697999678552,13,47,40
P01,0,1,20260611,185307,11,2,2,55.3303,-0.3113,60.0,4.6697,0,1,0,2.103175099939108,8,22,2,58.2343,60.0,1.7657,0,0,1,0.6511262999847531,13,47,41
P01,0,1,20260611,185311,12,2,2,49.5707,-0.6953,60.0,10.4293,0,0,1,0.7680163999320939,9,23,2,55.3303,60.0,4.6697,0,1,0,2.103175099939108,13,47,42
P01,0,1,20260611,185313,13,2,2,51.1157,-0.5923,60.0,8.8843,0,1,0,1.451326600043103,9,23,2,49.5707,60.0,10.4293,0,0,1,0.7680163999320939,13,47,43
P01,0,1,20260611,185316,14,2,2,62.9518,0.1968,60.0,2.9518,1,0,0,0.5163526999531314,9,23,2,51.1157,60.0,8.8843,0,1,0,1.451326600043103,13,47,44
P01,0,1,20260611,185318,15,2,2,62.1935,0.1462,60.0,2.1935,1,1,1,0.48318759992253035,10,24,2,62.9518,60.0,2.9518,1,0,0,0.5163526999531314,13,47,45
P01,0,1,20260611,185321,16,2,2,59.4362,-0.0376,60.0,0.5638,0,0,1,0.4978979000588879,11,25,2,62.1935,60.0,2.1935,1,1,1,0.4831875999225303,13,47,46
P01,0,1,20260611,185323,17,2,2,47.0398,-0.864,60.0,12.9602,0,0,1,0.5323356000008062,12,26,2,59.4362,60.0,0.5638,0,0,1,0.4978979000588879,13,47,47
P01,0,1,20260611,185325,18,2,2,63.4464,0.2298,60.0,3.4464,1,1,1,0.4176854999968782,13,27,2,47.0398,60.0,12.9602,0,0,1,0.5323356000008062,13,47,48
P01,0,1,20260611,185327,19,2,2,63.4053,0.227,60.0,3.4053,1,0,0,0.38229160010814667,13,27,2,63.4464,60.0,3.4464,1,1,1,0.4176854999968782,13,47,49
P01,0,1,20260611,185329,20,2,2,59.6423,-0.0238,60.0,0.3577,0,0,1,0.4658723999746144,14,28,2,63.4053,60.0,3.4053,1,0,0,0.3822916001081466,13,47,50
P01,0,1,20260611,185332,21,2,2,55.1172,-0.3255,60.0,4.8828,0,0,1,0.6488157000858337,15,29,2,59.6423,60.0,0.3577,0,0,1,0.4658723999746144,13,47,51
P01,0,1,20260611,185334,22,2,2,69.4518,0.6301,60.0,9.4518,1,0,0,0.41383229999337345,15,29,2,55.1172,60.0,4.8828,0,0,1,0.6488157000858337,13,47,52
P01,0,1,20260611,185336,23,2,2,45.2958,-0.9803,60.0,14.7042,0,0,1,0.46642079995945096,16,30,2,69.4518,60.0,9.4518,1,0,0,0.4138322999933734,13,47,53
P01,0,1,20260611,185339,24,2,2,57.6032,-0.1598,60.0,2.3968,0,1,0,0.4163105000043288,16,30,2,45.2958,60.0,14.7042,0,0,1,0.4664207999594509,13,47,54
P01,0,1,20260611,185341,25,2,2,45.8887,-0.9408,60.0,14.1113,0,1,0,0.5507103999843821,16,30,2,57.6032,60.0,2.3968,0,1,0,0.4163105000043288,13,47,55
P01,0,1,20260611,185343,26,2,2,56.7606,-0.216,60.0,3.2394,0,1,0,0.4351818000432104,16,30,2,45.8887,60.0,14.1113,0,1,0,0.5507103999843821,13,47,56
P01,0,1,20260611,185345,27,2,2,51.4334,-0.5711,60.0,8.5666,0,0,1,0.39948509994428605,17,31,2,56.7606,60.0,3.2394,0,1,0,0.4351818000432104,13,47,57
P01,0,1,20260611,185348,28,2,2,61.1522,0.0768,60.0,1.1522,1,0,0,0.4323546999366954,17,31,2,51.4334,60.0,8.5666,0,0,1,0.399485099944286,13,47,58
P01,0,1,20260611,185350,29,2,2,56.2933,-0.2471,60.0,3.7067,0,0,1,0.415484800003469,18,32,2,61.1522,60.0,1.1522,1,0,0,0.4323546999366954,13,47,59
P01,0,1,20260611,185352,30,2,2,55.963,-0.2691,60.0,4.037,0,1,0,0.5666595000075176,18,32,2,56.2933,60.0,3.7067,0,0,1,0.415484800003469,13,47,60
P01,0,1,20260611,185355,31,2,2,48.7858,-0.7476,60.0,11.2142,0,1,0,0.6139354000333697,18,32,2,55.963,60.0,4.037,0,1,0,0.5666595000075176,13,47,61
P01,0,1,20260611,185357,32,2,2,58.7034,-0.0864,60.0,1.2966,0,0,1,0.3991253999993205,19,33,2,48.7858,60.0,11.2142,0,1,0,0.6139354000333697,13,47,62
P01,0,1,20260611,185359,33,2,2,60.6903,0.046,60.0,0.6903,1,0,0,0.8144196999492124,19,33,2,58.7034,60.0,1.2966,0,0,1,0.3991253999993205,13,47,63
P01,0,1,20260611,185402,34,2,2,54.444,-0.3704,60.0,5.556,0,1,0,0.7308028000406921,19,33,2,60.6903,60.0,0.6903,1,0,0,0.8144196999492124,13,47,64
P01,0,1,20260611,185407,35,2,2,45.1414,-0.9906,60.0,14.8586,0,0,1,3.034805899951607,20,34,2,54.444,60.0,5.556,0,1,0,0.7308028000406921,13,47,65
P01,0,1,20260611,185412,36,2,2,48.7567,-0.7496,60.0,11.2433,0,0,1,0.4315538000082597,21,35,2,45.1414,60.0,14.8586,0,0,1,3.034805899951607,13,47,66
P01,0,1,20260611,185415,37,2,2,54.1316,-0.3912,60.0,5.8684,0,1,0,0.31598990003112704,21,35,2,48.7567,60.0,11.2433,0,0,1,0.4315538000082597,13,47,67
P01,0,1,20260611,185417,38,2,2,60.4784,0.0319,60.0,0.4784,1,0,0,0.265013900003396,21,35,2,54.1316,60.0,5.8684,0,1,0,0.315989900031127,13,47,68
P01,0,1,20260611,185419,39,2,2,69.8128,0.6542,60.0,9.8128,1,0,0,0.2830614000558853,21,35,2,60.4784,60.0,0.4784,1,0,0,0.265013900003396,13,47,69
P01,0,1,20260611,185423,40,2,2,62.3888,0.1593,60.0,2.3888,1,1,1,0.38236010004766285,22,36,2,69.8128,60.0,9.8128,1,0,0,0.2830614000558853,13,47,70
P01,0,1,20260611,185426,41,2,2,61.154,0.0769,60.0,1.154,1,1,1,0.7487731999717653,23,37,2,62.3888,60.0,2.3888,1,1,1,0.3823601000476628,13,47,71
P01,0,1,20260611,185429,42,2,2,62.1424,0.1428,60.0,2.1424,1,1,1,0.9334585999604315,24,38,2,61.154,60.0,1.154,1,1,1,0.7487731999717653,13,47,72
P01,0,1,20260611,185431,43,2,2,60.2747,0.0183,60.0,0.2747,1,1,1,0.31502829992678016,25,39,2,62.1424,60.0,2.1424,1,1,1,0.9334585999604316,13,47,73
P01,0,1,20260611,185433,44,2,2,65.6407,0.376,60.0,5.6407,1,0,0,0.38106970000080764,25,39,2,60.2747,60.0,0.2747,1,1,1,0.3150282999267801,13,47,74
P01,0,1,20260611,185435,45,2,2,63.4341,0.2289,60.0,3.4341,1,0,0,0.26593349990434945,25,39,2,65.6407,60.0,5.6407,1,0,0,0.3810697000008076,13,47,75
P01,0,1,20260611,185437,46,2,2,53.423,-0.4385,60.0,6.577,0,0,1,0.36585820000618696,26,40,2,63.4341,60.0,3.4341,1,0,0,0.2659334999043494,13,47,76
P01,0,1,20260611,185439,47,2,2,49.6096,-0.6927,60.0,10.3904,0,0,1,0.34870740002952516,27,41,2,53.423,60.0,6.577,0,0,1,0.3658582000061869,13,47,77
P01,0,1,20260611,185442,1,3,1,62.6198,0.1747,60.0,2.6198,1,1,1,0.5172052999259904,1,42,2,49.6096,60.0,10.3904,0,0,1,0.3487074000295251,13,41,78
P01,0,1,20260611,185444,2,3,1,72.1899,0.8127,60.0,12.1899,1,0,0,0.39878439996391535,1,42,1,62.6198,60.0,2.6198,1,1,1,0.5172052999259904,13,41,79
P01,0,1,20260611,185446,3,3,1,67.6433,0.5096,60.0,7.6433,1,0,0,0.31744170002639294,1,42,1,72.1899,60.0,12.1899,1,0,0,0.3987843999639153,13,41,80
P01,0,1,20260611,185448,4,3,1,47.1675,-0.8555,60.0,12.8325,0,1,0,0.2984731000615284,1,42,1,67.6433,60.0,7.6433,1,0,0,0.3174417000263929,13,41,81
P01,0,1,20260611,185454,5,3,1,50.5599,-0.6293,60.0,9.4401,0,1,0,0.33101180009543896,1,42,1,47.1675,60.0,12.8325,0,1,0,0.2984731000615284,13,41,82
P01,0,1,20260611,185456,6,3,1,60.3371,0.0225,60.0,0.3371,1,0,0,0.24884910008404404,1,42,1,50.5599,60.0,9.4401,0,1,0,0.3310118000954389,13,41,83
P01,0,1,20260611,185458,7,3,1,70.1522,0.6768,60.0,10.1522,1,0,0,0.18243370007257909,1,42,1,60.3371,60.0,0.3371,1,0,0,0.248849100084044,13,41,84
P01,0,1,20260611,185459,8,3,1,50.3147,-0.6457,60.0,9.6853,0,1,0,0.34970200003590435,1,42,1,70.1522,60.0,10.1522,1,0,0,0.182433700072579,13,41,85
P01,0,1,20260611,185501,9,3,1,63.1043,0.207,60.0,3.1043,1,0,0,0.3329391999868676,1,42,1,50.3147,60.0,9.6853,0,1,0,0.3497020000359043,13,41,86
P01,0,1,20260611,185503,10,3,1,61.0782,0.0719,60.0,1.0782,1,0,0,0.23231750004924834,1,42,1,63.1043,60.0,3.1043,1,0,0,0.3329391999868676,13,41,87
P01,0,1,20260611,185505,11,3,1,51.759,-0.5494,60.0,8.241,0,0,1,0.28292209992650896,2,43,1,61.0782,60.0,1.0782,1,0,0,0.2323175000492483,13,41,88
P01,0,1,20260611,185507,12,3,1,72.6476,0.8432,60.0,12.6476,1,1,1,0.3332961000269279,3,44,1,51.759,60.0,8.241,0,0,1,0.2829220999265089,13,41,89
P01,0,1,20260611,185509,13,3,1,51.3824,-0.5745,60.0,8.6176,0,1,0,0.2823314000852406,3,44,1,72.6476,60.0,12.6476,1,1,1,0.3332961000269279,13,41,90
P01,0,1,20260611,185511,14,3,1,66.6765,0.4451,60.0,6.6765,1,1,1,0.666797099984251,4,45,1,51.3824,60.0,8.6176,0,1,0,0.2823314000852406,13,41,91
P01,0,1,20260611,185514,15,3,1,66.8495,0.4566,60.0,6.8495,1,1,1,0.48097859998233616,5,46,1,66.6765,60.0,6.6765,1,1,1,0.666797099984251,13,41,92
P01,0,1,20260611,185516,16,3,1,50.6245,-0.625,60.0,9.3755,0,0,1,0.600249300012365,6,47,1,66.8495,60.0,6.8495,1,1,1,0.4809785999823361,13,41,93
P01,0,1,20260611,185518,17,3,1,64.2943,0.2863,60.0,4.2943,1,1,1,0.4828703999519348,7,48,1,50.6245,60.0,9.3755,0,0,1,0.600249300012365,13,41,94
P01,0,1,20260611,185520,18,3,1,53.3777,-0.4415,60.0,6.6223,0,0,1,0.582581500057131,8,49,1,64.2943,60.0,4.2943,1,1,1,0.4828703999519348,13,41,95
