repeat,amplitude,log_amp,dBA
1,0.004,-2.397940008672037,48.6
1,0.0050970999428125,-2.2926768507773008,49.9
1,0.0064951069567548,-2.187413692882564,51.8
1,0.0082765523244591,-2.082150534987827,53.6
1,0.0105466035949214,-1.97688737709309,55.6
1,0.0134392731451351,-1.8716242191983528,57.5
1,0.0171253295948775,-1.7663610613036165,59.6
1,0.021822379124674,-1.6610979034088795,61.6
1,0.0278077118471024,-1.5558347455141428,63.7
1,0.0354346716164033,-1.450571587619406,65.5
1,0.0451535156673875,-1.3453084297246691,67.9
1,0.0575379955315065,-1.2400452718299322,70.1
1,0.0733192284332974,-1.1347821139351957,72.0
1,0.0934288587636048,-1.0295189560404587,74.1
1,0.1190540576652527,-0.9242557981457218,76.5
1,0.15170760762929,-0.8189926402509848,78.2
1,0.1933172095428701,-0.7137294823562481,80.0
1,0.2463392844264104,-0.6084663244615114,82.5
1,0.3139039881405845,-0.5032031665667744,84.2
1,0.4,-0.3979400086720376,86.6
2,0.004,-2.397940008672037,48.7
2,0.0050970999428125,-2.2926768507773008,49.9
2,0.0064951069567548,-2.187413692882564,51.8
2,0.0082765523244591,-2.082150534987827,53.6
2,0.0105466035949214,-1.97688737709309,55.5
2,0.0134392731451351,-1.8716242191983528,57.5
2,0.0171253295948775,-1.7663610613036165,59.6
2,0.021822379124674,-1.6610979034088795,61.6
2,0.0278077118471024,-1.5558347455141428,63.7
2,0.0354346716164033,-1.450571587619406,65.8
2,0.0451535156673875,-1.3453084297246691,67.9
2,0.0575379955315065,-1.2400452718299322,70.0
2,0.0733192284332974,-1.1347821139351957,72.0
2,0.0934288587636048,-1.0295189560404587,74.1
2,0.1190540576652527,-0.9242557981457218,76.3
2,0.15170760762929,-0.8189926402509848,78.0
2,0.1933172095428701,-0.7137294823562481,80.4
2,0.2463392844264104,-0.6084663244615114,82.9
2,0.3139039881405845,-0.5032031665667744,84.3
2,0.4,-0.3979400086720376,86.6
3,0.004,-2.397940008672037,48.5
3,0.0050970999428125,-2.2926768507773008,49.9
3,0.0064951069567548,-2.187413692882564,51.8
3,0.0082765523244591,-2.082150534987827,53.5
3,0.0105466035949214,-1.97688737709309,55.5
3,0.0134392731451351,-1.8716242191983532,57.5
3,0.0171253295948775,-1.7663610613036165,59.5
3,0.021822379124674,-1.6610979034088795,61.6
3,0.0278077118471024,-1.5558347455141428,63.6
3,0.0354346716164033,-1.450571587619406,65.7
3,0.0451535156673875,-1.3453084297246691,67.9
3,0.0575379955315065,-1.2400452718299322,70.0
3,0.0733192284332974,-1.1347821139351957,72.0
3,0.0934288587636048,-1.0295189560404587,74.1
3,0.1190540576652527,-0.9242557981457218,76.2
3,0.15170760762929,-0.8189926402509848,78.2
3,0.1933172095428701,-0.7137294823562481,80.2
3,0.2463392844264104,-0.6084663244615114,82.9
3,0.3139039881405845,-0.5032031665667744,84.3
3,0.4,-0.3979400086720376,87.0
4,0.004,-2.3979400086720375,48.5
4,0.005097099942812535,-2.2926768507773008,49.9
4,0.006495106956754886,-2.187413692882564,51.8
4,0.008276552324459162,-2.082150534987827,53.6
4,0.010546603594921435,-1.9768873770930901,55.4
4,0.013439273145135128,-1.8716242191983534,57.5
4,0.01712532959487758,-1.7663610613036165,59.5
4,0.021822379124674086,-1.6610979034088795,61.6
4,0.02780771184710243,-1.5558347455141428,63.6
4,0.035434671616403304,-1.450571587619406,65.7
4,0.04515351566738757,-1.3453084297246691,67.8
4,0.057537995531506535,-1.2400452718299322,70.0
4,0.07331922843329744,-1.1347821139351955,71.8
4,0.09342885876360488,-1.0295189560404587,74.3
4,0.11905405766525273,-0.9242557981457218,76.1
4,0.15170760762929003,-0.8189926402509848,78.2
4,0.19331720954287013,-0.7137294823562481,80.0
4,0.24633928442641048,-0.6084663244615114,82.5
4,0.3139039881405845,-0.5032031665667744,84.6
4,0.4,-0.3979400086720376,86.4
